driverId,name,ssn,location,certified,wage-plan
10,Lindsey Zuniga,619-39-7065,"151 Stephen Station Apt. 104
West Barbara, MS 16262",N,miles
11,Kenneth Johnson,486-74-3275,"4118 Christopher Plains Suite 739
Lake Zoe, AK 73070",N,hours
12,Tyler Dennis,329-10-3699,"8986 Mcfarland Mills
Ericton, IN 90213",N,hours
13,Hannah Glenn,068-98-9884,"64038 Nelson Gardens
Harperbury, NJ 99390",Y,miles
14,Megan Roberts,198-48-9521,"6351 Sergio Stravenue Apt. 078
Michelleside, CO 63547",Y,miles
15,Molly Harris,311-46-5529,"645 Megan Forges Suite 337
Wattstown, PA 44528",N,hours
16,Hunter Boyd,231-57-1728,"383 Karl Shores Apt. 194
Kurtmouth, TX 61422",N,miles
17,Bonnie Byrd,181-21-4894,"100 Garza Flat Suite 378
Robertschester, AZ 22445",N,hours
18,Ricky Thomas,899-09-3169,"512 Denise Extensions Apt. 206
Jeffreyborough, WV 76582",Y,hours
19,Barbara Hall,707-53-5386,"675 Bishop Way Apt. 868
New Melissa, CT 29445",N,miles
20,Joseph Mercado,400-09-9566,"9973 Joseph Stream Apt. 081
Lauraville, NH 05063",Y,hours
21,Amber Welch,096-95-6747,"4789 Amanda Overpass
Lake Dylan, GA 21345",N,miles
22,Jennifer Estrada,400-95-5908,"5105 Hernandez Mountains
Williamtown, CT 88146",Y,hours
23,William Webb,533-97-8611,"06595 Fox Shoal
South Cameronberg, HI 17480",Y,miles
24,Dana Patton,698-90-8091,"7464 John Crossing Suite 093
Parkerfurt, NH 18193",Y,miles
25,Crystal Mckay,805-39-0370,"USS Walker
FPO AE 53332",N,hours
26,Kristina Smith,131-23-1214,"9600 Lance Lights Apt. 660
Lake Savannah, MT 22228",Y,hours
27,Brandon Vasquez,060-79-3844,"74306 Clarence Harbor
North Michaelfort, TN 33414",N,hours
28,Anna Turner,326-32-1222,"237 Brewer Expressway Apt. 006
Jessicamouth, MN 08413",N,hours
29,Laura Harris,753-02-0204,"527 Owen Lake Apt. 307
North Kevin, PR 52795",N,miles
30,Debra Hawkins,223-48-2695,"3246 Tyler Grove Apt. 681
North Sonyamouth, ME 70035",Y,hours
31,Anthony Sheppard,102-52-2583,"5879 Paul Courts
Johnsonland, SC 87138",Y,hours
32,Karla Rojas,261-74-4199,"86821 Amanda Pike Apt. 081
Fitzgeraldberg, MP 04802",N,hours
33,Jason Williams,104-57-6093,"5359 Cherry Crossroad
West Taylorborough, PR 67019",Y,miles
34,Jennifer Johnson,345-29-7601,"62623 Hopkins Locks Apt. 178
Murphyside, MT 61492",N,hours
35,Lonnie Schultz,888-40-7525,"5571 Ronald Overpass Apt. 510
Wardtown, GA 64708",N,miles
36,David Martinez,448-57-4067,"56531 Walker Row Suite 557
Myersport, TN 85829",Y,hours
37,Robin Schmidt,065-85-8817,"41760 Kyle Coves
Evansport, NE 94308",N,miles
38,Teresa Hansen,047-87-5412,"2058 Perry Station
Lake Virginia, DC 92431",Y,hours
39,Donald Reyes,370-28-3456,"60194 Roberts Via Apt. 772
Thomaston, UT 04378",Y,hours
40,Samuel Lawrence,331-51-2668,"7962 Zachary Track Suite 668
North Joe, DE 84381",N,hours
41,John Kelly,527-06-1037,"19159 Mary Fort
Rodriguezville, PW 61153",N,miles
42,Summer Davidson,032-84-9945,"6670 Jessica Isle Apt. 450
South Jamesside, NE 64213",Y,miles
43,Haley Anderson,313-53-9681,"02547 Travis Mill
Lake Christopherborough, GU 79435",N,miles
44,Cory Costa,150-59-3751,"0160 Henry Road
Kimberlyland, MH 92433",Y,miles
45,Beth Holmes,296-72-8255,"50555 Denise Spur
Shannonside, VA 10656",N,miles
46,Andrea Fisher,098-27-8728,"4992 Smith Dam
Higginston, NC 89204",Y,miles
47,Patricia Hernandez,072-75-5694,"386 Wallace Trafficway
South Johnhaven, DC 07342",N,hours
48,Gerald Leonard,263-60-7180,"64691 Koch Motorway Suite 412
New Steven, AS 56658",Y,hours
49,Nicole Foster,609-53-1550,"93472 Green Mountains
Jensenshire, SD 13209",Y,hours
